"database","key","phylum","class","order","family","genus","species","species_reported","species_underscored","taxo_level","realm","lat_dec","long_dec","location_description","country_collection","subcontinent","body_mass_gram","sex","life_stage","sample_size","number_of_specimens","estimate_error_type","cell_length","cell_length_error","cell_width","cell_width_error","cell_area","cell_area_error","cell_volume","cell_volume_error","mcv","mcv_error","nucleus_length","nucleus_length_error","nucleus_width","nucleus_width_error","nucleus_area","nucleus_area_error","nucleus_volume","nucleus_volume_error","notes"
"Gregory_2024","9_gregory","Chordata","Actinopteri","Tetraodontiformes","Balistidae","Abalistes","Abalistes stellatus","Abalistes stellatus","Abalistes_stellatus","Species","marine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.36,NA,NA,NA,"Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706."
"Gregory_2024","pdf_not_found_Gulliver_1875","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Abramis","Abramis brama","Abramis brama","Abramis_brama","Species","freshwater-brackish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,7.1,NA,59.39,NA,279.7829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gulliver, G. (1875). Observations on the sizes and shapes of the red corpuscles of the blood of vertebrates, with drawings of them to a uniform scale, and extended and revised tables of measurements. Proceedings of the Zoological Society of London 1875: 474-495."
"systematic_search_english","rayyan-33186100","Chordata","Actinopteri","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis","Abudefduf marginatus","Abudefduf_saxatilis","Species","marine",32.367,-64.6976,"near the Bermuda Biological Station, St. George, Bermuda
","United Kingdom","Western Europe",NA,NA,NA,"50",NA,"2SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,0.09,NA,NA,"Table 1"
"felix","16_fpl","Chordata","Actinopteri","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis","Abudefduf saxatilis","Abudefduf_saxatilis","Species","marine",18.2248,-66.4858,"southwestern and western coasts of Puerto Rico","United States of America","North America",NA,NA,NA,NA,NA,NA,10.2,NA,7.5,NA,60.083,NA,300.4148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saunders, D.C. (1966). Differential Blood Cell Counts of 121 Species of Marine Fishes of Puerto Rico"
"felix","16_fpl","Chordata","Actinopteri","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis","Abudefduf saxatilis","Abudefduf_saxatilis","Species","marine",18.2248,-66.4858,"southwestern and western coasts of Puerto Rico","United States of America","North America",NA,NA,NA,NA,NA,NA,10,NA,7.5,NA,58.9049,NA,294.5243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saunders, D.C. (1966). Differential Blood Cell Counts of 121 Species of Marine Fishes of Puerto Rico"
"felix","16_fpl","Chordata","Actinopteri","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis","Abudefduf saxatilis","Abudefduf_saxatilis","Species","marine",18.2248,-66.4858,"southwestern and western coasts of Puerto Rico","United States of America","North America",NA,NA,NA,NA,NA,NA,10.5,NA,7.5,NA,61.8501,NA,309.2505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saunders, D.C. (1966). Differential Blood Cell Counts of 121 Species of Marine Fishes of Puerto Rico"
"felix","16_fpl","Chordata","Actinopteri","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis","Abudefduf saxatilis","Abudefduf_saxatilis","Species","marine",18.2248,-66.4858,"southwestern and western coasts of Puerto Rico","United States of America","North America",NA,NA,NA,NA,NA,NA,10.5,NA,7.5,NA,61.8501,NA,309.2505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saunders, D.C. (1966). Differential Blood Cell Counts of 121 Species of Marine Fishes of Puerto Rico"
"felix","16_fpl","Chordata","Actinopteri","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis","Abudefduf saxatilis","Abudefduf_saxatilis","Species","marine",18.2248,-66.4858,"southwestern and western coasts of Puerto Rico","United States of America","North America",NA,NA,NA,NA,NA,NA,10,NA,7.5,NA,58.9049,NA,294.5243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saunders, D.C. (1966). Differential Blood Cell Counts of 121 Species of Marine Fishes of Puerto Rico"
"felix","16_fpl","Chordata","Actinopteri","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis","Abudefduf saxatilis","Abudefduf_saxatilis","Species","marine",18.2248,-66.4858,"southwestern and western coasts of Puerto Rico","United States of America","North America",NA,NA,NA,NA,NA,NA,9,NA,6.5,NA,45.9458,NA,199.0984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saunders, D.C. (1966). Differential Blood Cell Counts of 121 Species of Marine Fishes of Puerto Rico"
"felix","16_fpl","Chordata","Actinopteri","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis","Abudefduf saxatilis","Abudefduf_saxatilis","Species","marine",18.2248,-66.4858,"southwestern and western coasts of Puerto Rico","United States of America","North America",NA,NA,NA,NA,NA,NA,9,NA,5.5,NA,38.8772,NA,142.5498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saunders, D.C. (1966). Differential Blood Cell Counts of 121 Species of Marine Fishes of Puerto Rico"
"felix","16_fpl","Chordata","Actinopteri","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis","Abudefduf saxatilis","Abudefduf_saxatilis","Species","marine",18.2248,-66.4858,"southwestern and western coasts of Puerto Rico","United States of America","North America",NA,NA,NA,NA,NA,NA,10,NA,7,NA,54.9779,NA,256.5634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saunders, D.C. (1966). Differential Blood Cell Counts of 121 Species of Marine Fishes of Puerto Rico"
